metric,dimension,all_matched_pairs,all_matched_first_person_mean,all_matched_third_person_mean_reference,all_matched_third_person_best_reference,all_matched_mean_reference_uplift,all_matched_best_reference_uplift,all_matched_third_mean_better_rate,all_matched_any_third_better_rate,low_first_person_pairs,low_first_person_first_person_mean,low_first_person_third_person_mean_reference,low_first_person_third_person_best_reference,low_first_person_mean_reference_uplift,low_first_person_best_reference_uplift,low_first_person_third_mean_better_rate,low_first_person_any_third_better_rate
bleu,relevance,45,0.0,6.084228540305637e-05,0.00030421142701528184,6.084228540305637e-05,0.00030421142701528184,0.022222222222222223,0.022222222222222223,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bleu,congruence,45,0.0,0.0006446977571707978,0.003223488785853989,0.0006446977571707978,0.003223488785853989,0.044444444444444446,0.044444444444444446,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bleu,accountability,45,0.0,0.0021989780883132563,0.008806146115146567,0.0021989780883132563,0.008806146115146567,0.08888888888888889,0.08888888888888889,12,0.0,0.0038672863599453614,0.01933643179972681,0.0038672863599453614,0.01933643179972681,0.16666666666666666,0.16666666666666666
bleu,control,45,0.0,0.004180175104027122,0.017627939359219028,0.004180175104027122,0.017627939359219028,0.1111111111111111,0.1111111111111111,12,0.0,0.008283796009863164,0.029145469445878636,0.008283796009863164,0.029145469445878636,0.16666666666666666,0.16666666666666666
bleu,certainty,45,0.0,0.003472475178800235,0.012453419155232823,0.003472475178800235,0.012453419155232823,0.1111111111111111,0.1111111111111111,12,0.0,0.001660292888279447,0.008301464441397234,0.001660292888279447,0.008301464441397234,0.08333333333333333,0.08333333333333333
rouge-1,relevance,45,0.20859087100177542,0.18926394462263538,0.27071934467933184,-0.01932692637914005,0.062128473677556396,0.35555555555555557,0.9333333333333333,12,0.19839658838412969,0.1870520655710806,0.2647469949176826,-0.011344522813049089,0.06635040653355288,0.5833333333333334,1.0
rouge-1,congruence,45,0.20473932719330215,0.19952197006473754,0.275210321368443,-0.005217357128564601,0.07047099417514086,0.35555555555555557,0.8888888888888888,12,0.19727482407967623,0.19387529086154232,0.27127884433083965,-0.0033995332181339655,0.07400402025116339,0.3333333333333333,0.9166666666666666
rouge-1,accountability,45,0.1863676751845533,0.16140733303043497,0.2535310722460773,-0.02496034215411835,0.06716339706152398,0.4222222222222222,0.7111111111111111,12,0.1365776168620795,0.166203480912652,0.26173564937004895,0.02962586405057246,0.12515803250796942,0.6666666666666666,0.8333333333333334
rouge-1,control,45,0.20505980624367343,0.1956656316136104,0.2817483513994392,-0.009394174630063009,0.07668854515576574,0.4,0.8666666666666667,12,0.2102935378673577,0.19600612739729537,0.2883825761067705,-0.014287410470062314,0.07808903823941277,0.4166666666666667,0.9166666666666666
rouge-1,certainty,45,0.1601125393521399,0.15141921178776083,0.24897387280384933,-0.008693327564379048,0.08886133345170935,0.5111111111111111,0.8,12,0.16296954492636953,0.14088594877397162,0.24106084403497377,-0.022083596152397914,0.07809129910860428,0.4166666666666667,0.8333333333333334
rouge-2,relevance,45,0.029055550408719228,0.021419297287216164,0.05541617782410365,-0.007636253121503059,0.02636062741538442,0.3333333333333333,0.7555555555555555,12,0.022624956760084854,0.022585424420938444,0.05586813797563748,-3.9532339146410717e-05,0.03324318121555262,0.5,0.8333333333333334
rouge-2,congruence,45,0.03192703248155176,0.03065497034452116,0.07176493005464372,-0.001272062137030606,0.039837897573091946,0.4888888888888889,0.7111111111111111,12,0.043326466362528876,0.025918568158866662,0.06121139163301734,-0.017407898203662214,0.017884925270488444,0.25,0.5
rouge-2,accountability,45,0.026731533279445902,0.025338545083936143,0.07134608167781556,-0.0013929881955097635,0.04461454839836968,0.5111111111111111,0.6666666666666666,12,0.015,0.02515030434703382,0.08616409624782145,0.010150304347033826,0.07116409624782145,0.75,1.0
rouge-2,control,45,0.033278442940567816,0.03859833100944475,0.08992836299377374,0.0053198880688769285,0.05664992005320594,0.5555555555555556,0.8222222222222222,12,0.02752367911191087,0.050283986616300146,0.11054988972696446,0.022760307504389277,0.0830262106150536,0.6666666666666666,1.0
rouge-2,certainty,45,0.02007450809280078,0.0215271956390158,0.06726479135556367,0.001452687546215025,0.047190283262762894,0.5555555555555556,0.7333333333333333,12,0.008653334301200155,0.014447337030684937,0.04950692715409032,0.0057940027294847846,0.04085359285289016,0.5,0.6666666666666666
rouge-l,relevance,45,0.15201489628350942,0.1380082764163566,0.20104264245706105,-0.01400661986715279,0.04902774617355161,0.3111111111111111,0.9111111111111111,12,0.1461340722623848,0.13815765290071566,0.2004488669637846,-0.007976419361669169,0.05431479470139982,0.4166666666666667,1.0
rouge-l,congruence,45,0.15299367052176865,0.15558961633595916,0.21668942152804022,0.0025959458141905233,0.06369575100627158,0.37777777777777777,0.9111111111111111,12,0.15847789602160417,0.144945505739672,0.2052399547089158,-0.013532390281932205,0.04676205868731165,0.25,0.9166666666666666
rouge-l,accountability,45,0.146470481874954,0.12967242677672822,0.20374571122538773,-0.016798055098225764,0.05727522935043369,0.37777777777777777,0.7333333333333333,12,0.11764473865247177,0.1328748879065573,0.20794363303538269,0.015230149254085529,0.09029889438291096,0.5833333333333334,0.75
rouge-l,control,45,0.15995287741187883,0.1585163921864259,0.22878192853226634,-0.001436485225452936,0.0688290511203875,0.4888888888888889,0.9111111111111111,12,0.15447247024361546,0.17329914292529924,0.2544708733248431,0.01882667268168382,0.09999840308122764,0.5833333333333334,0.9166666666666666
rouge-l,certainty,45,0.12222057835672123,0.12020735858630929,0.1960083317075458,-0.0020132197704119193,0.07378775335082456,0.4444444444444444,0.8444444444444444,12,0.12001930210901708,0.10995908677331416,0.17640443183367815,-0.01006021533570293,0.05638512972466108,0.4166666666666667,0.6666666666666666
bertscore,relevance,45,0.8747748321957058,0.8763104573885604,0.8885307669639587,0.0015356251928541336,0.013755934768252903,0.5777777777777777,0.9333333333333333,12,0.8665823539098104,0.8748452574014663,0.8870058705409368,0.00826290349165599,0.020423516631126404,0.8333333333333334,1.0
bertscore,congruence,45,0.8779435912768047,0.8781114358372158,0.8906228171454535,0.00016784456041123933,0.012679225868648954,0.4888888888888889,0.8222222222222222,12,0.8737165182828903,0.8739940991004307,0.8869662284851074,0.00027758081754047925,0.013249710202217102,0.4166666666666667,0.9166666666666666
bertscore,accountability,45,0.8724830402268304,0.8713479574521382,0.8868625733587477,-0.001135082774692115,0.014379533131917317,0.4222222222222222,0.8222222222222222,12,0.8599234322706858,0.8710220267375312,0.884447326262792,0.01109859446684519,0.02452389399210612,0.6666666666666666,0.9166666666666666
bertscore,control,45,0.8795730776256985,0.8772947841220432,0.8924171249071757,-0.0022782935036553304,0.012844047281477186,0.37777777777777777,0.8,12,0.8653284907341003,0.8760333418846131,0.8932351271311442,0.0107048511505127,0.027906636397043865,0.75,1.0
bertscore,certainty,45,0.869172747929891,0.8691800941361324,0.8864490071932475,7.346206241182824e-06,0.017276259263356526,0.4888888888888889,0.8444444444444444,12,0.8593964874744415,0.8665450513362886,0.8836595366398493,0.007148563861846924,0.024263049165407818,0.6666666666666666,0.9166666666666666
