metric,dimension,all_matched_pairs,all_matched_first_person_mean,all_matched_third_person_mean_reference,all_matched_third_person_best_reference,all_matched_mean_reference_uplift,all_matched_best_reference_uplift,all_matched_third_mean_better_rate,all_matched_any_third_better_rate,low_first_person_pairs,low_first_person_first_person_mean,low_first_person_third_person_mean_reference,low_first_person_third_person_best_reference,low_first_person_mean_reference_uplift,low_first_person_best_reference_uplift,low_first_person_third_mean_better_rate,low_first_person_any_third_better_rate
bleu,relevance,45,0.056117743908616124,0.019491354095042476,0.06957761973413434,-0.03662638981357366,0.013459875825518209,0.37777777777777777,0.4888888888888889,12,0.03409797767085279,0.018226971681550432,0.08104692610167905,-0.01587100598930236,0.046948948430826254,0.5,0.5833333333333334
bleu,congruence,45,0.022901194052839066,0.007065840897898465,0.03269442060755402,-0.015835353154940602,0.009793226554714957,0.24444444444444444,0.28888888888888886,12,0.005066490530892933,0.007884753829482106,0.03448275071406318,0.0028182632985891726,0.029416260183170246,0.4166666666666667,0.4166666666666667
bleu,accountability,45,0.014996542204994048,0.0030528182049432517,0.012863113318876724,-0.011943724000050795,-0.0021334288861173255,0.08888888888888889,0.08888888888888889,12,0.004718475486146877,0.0023300022427774495,0.011650011213887248,-0.002388473243369428,0.0069315357277403705,0.08333333333333333,0.08333333333333333
bleu,control,45,0.023683148062034354,0.008302797380054629,0.03569371908838817,-0.015380350681979725,0.012010571026353823,0.3111111111111111,0.3333333333333333,12,0.005445362489807328,0.008580805763182988,0.04290402881591493,0.0031354432733756593,0.03745866632610761,0.4166666666666667,0.5
bleu,certainty,45,0.019567207575954745,0.010133379322784068,0.04383492958948506,-0.009433828253170675,0.02426772201353031,0.3333333333333333,0.4,12,0.0,0.010252131271455698,0.03963086011640439,0.010252131271455698,0.03963086011640439,0.4166666666666667,0.4166666666666667
rouge-1,relevance,45,0.33717052189948343,0.28460928955185055,0.38938339235932534,-0.05256123234763295,0.0522128704598418,0.35555555555555557,0.7555555555555555,12,0.2637487513033001,0.27166746579498413,0.37953890913274174,0.00791871449168405,0.11579015782944165,0.75,0.8333333333333334
rouge-1,congruence,45,0.2495526418646691,0.22390666125719041,0.3288730330047099,-0.025645980607478677,0.0793203911400408,0.35555555555555557,0.7777777777777778,12,0.21345687967547178,0.2194483050534276,0.31866173478076104,0.00599142537795581,0.10520485510528932,0.5,0.9166666666666666
rouge-1,accountability,45,0.24375319228032907,0.20331203695750075,0.3172262203094713,-0.04044115532282832,0.07347302802914224,0.3333333333333333,0.7555555555555555,12,0.15079845186264648,0.20024025230183606,0.30925104955516114,0.049441800439189554,0.15845259769251463,0.75,1.0
rouge-1,control,45,0.2815605953708105,0.23513045069803695,0.3290624256451632,-0.046430144672773614,0.047501830274352584,0.37777777777777777,0.7111111111111111,12,0.2209508699765597,0.227602604997867,0.3119405987115846,0.006651735021307329,0.09098972873502487,0.6666666666666666,0.9166666666666666
rouge-1,certainty,45,0.23794796404115937,0.19399038883631164,0.30879981356758646,-0.043957575204847645,0.07085184952642706,0.37777777777777777,0.7555555555555555,12,0.16530591578557688,0.1778538194113407,0.26547212204314624,0.012547903625763803,0.10016620625756932,0.5833333333333334,0.8333333333333334
rouge-2,relevance,45,0.12304386059183262,0.08750441575946295,0.16648893072722695,-0.03553944483236972,0.043445070135394295,0.4444444444444444,0.6444444444444445,12,0.07722475332354121,0.08726120382633978,0.16567277143459772,0.010036450502798574,0.08844801811105647,0.75,0.8333333333333334
rouge-2,congruence,45,0.06799944929634133,0.04928660335023589,0.112363054402626,-0.018712845946105422,0.04436360510628467,0.35555555555555557,0.7333333333333333,12,0.04097801427529852,0.04511174903501986,0.09573672849762893,0.004133734759721351,0.0547587142223304,0.5833333333333334,0.75
