method,model,run_scope,inference_mode,appraisal_reasoning_bleu,appraisal_reasoning_rouge_l,appraisal_reasoning_bertscore,appraisals_normalized_rmse,positive_intensity_normalized_rmse,positive_example_f1,positive_micro_f1,positive_macro_f1,negative_intensity_normalized_rmse,negative_example_f1,negative_micro_f1,negative_macro_f1,result_file
baseline,Qwen3-4B-Instruct-2507,run_100samples,separate-tasks,0.003465,0.149741,0.868481,0.433111,0.243242,0.321927,0.475113,0.421023,0.254951,0.550822,0.545455,0.449478,output/baseline/Qwen3-4B-Instruct-2507/run_100samples/results_all.json
sft-chain,Qwen3-4B-Instruct-2507,run_100samples,separate-tasks,0.01312,0.099401,0.830624,0.465607,0.17873,0.294236,0.377807,0.357288,0.32532,0.513125,0.512676,0.451779,output/sft/sft-chain/Qwen3-4B-Instruct-2507/run_100samples/results_all.json
sft-direct,Qwen3-4B-Instruct-2507,run_100samples,separate-tasks,0.008198,0.172554,0.877145,0.478575,0.219848,0.539677,0.576208,0.553938,0.277389,0.604507,0.592334,0.53833,output/sft/sft-direct/Qwen3-4B-Instruct-2507/run_100samples/results_all.json
baseline,Qwen3-4B-Instruct-2507,run_100samples,full-chain,0.004557,0.163894,0.830009,0.390367,0.253859,0.539759,0.542466,0.468143,0.338296,0.581179,0.563559,0.44171,output/baseline/Qwen3-4B-Instruct-2507/run_100samples/results_full-chain.json
sft-chain,Qwen3-4B-Instruct-2507,run_100samples,full-chain,0.044906,0.257233,0.885668,0.502211,0.279881,0.681003,0.571429,0.490907,0.408588,0.54994,0.611418,0.514526,output/sft/sft-chain/Qwen3-4B-Instruct-2507/run_100samples/results_full-chain.json
sft-direct,Qwen3-4B-Instruct-2507,run_100samples,full-chain,0.011728,0.184327,0.886869,0.656047,0.513971,0.537143,0.045662,0.043853,0.657858,0.24,0,0,output/sft/sft-direct/Qwen3-4B-Instruct-2507/run_100samples/results_full-chain.json
baseline,Qwen3-4B-Instruct-2507,run_200samples,separate-tasks,0.003986,0.149391,0.867988,0.433193,0.224537,0.323498,0.45641,0.411878,0.259808,0.561512,0.554865,0.446332,output/baseline/Qwen3-4B-Instruct-2507/run_200samples/results_all.json
baseline,Qwen3-4B-Instruct-2507,run_200samples,full-chain,0.004045,0.151978,0.784977,0.386491,0.249722,0.554386,0.508423,0.43837,0.380058,0.542321,0.563515,0.475737,output/baseline/Qwen3-4B-Instruct-2507/run_200samples/results_full-chain.json
baseline,Qwen3-4B-Instruct-2507,run_all,separate-tasks,0.004217,0.151143,0.868316,0.431827,0.241644,0.345133,0.458292,0.41466,0.259884,0.584195,0.565103,0.438599,output/baseline/Qwen3-4B-Instruct-2507/run_all/results_all.json
baseline,Qwen3.5-9B,run_100samples,separate-tasks,0.000843,0.14507,0.87458,0.425,0.212132,0.477093,0.512941,0.461367,0.251109,0.585243,0.588933,0.477556,output/baseline/Qwen3.5-9B/run_100samples/results_all.json
sft-chain,Qwen3.5-9B,run_100samples,separate-tasks,0.02566,0.233575,0.889127,0.440719,0.174801,0.592449,0.678261,0.64356,0.271314,0.641528,0.633452,0.570379,output/sft/sft-chain/Qwen3.5-9B/results_all.json
sft-direct,Qwen3.5-9B,run_100samples,separate-tasks,0.0218,0.215074,0.88982,0.465302,0.207498,0.728405,0.650602,0.609611,0.248328,0.656384,0.654545,0.568855,output/sft/sft-direct/Qwen3.5-9B/results_all.json
grpo-from-warmup,Qwen3.5-9B,run_100samples,separate-tasks,0.024,0.200147,0.883406,0.457699,0.182574,0.51578,0.646341,0.617971,0.233928,0.62222,0.613678,0.517688,output/grpo/Qwen3.5-9B/grpo_from_warmup/results_all.json
baseline,Qwen3.5-9B,run_100samples,full-chain,0.002472,0.165855,0.88333,0.399503,0.212132,0.681063,0.546512,0.451807,0.273354,0.574486,0.553097,0.407181,output/baseline/Qwen3.5-9B/run_100samples/results_full-chain.json
sft-chain,Qwen3.5-9B,run_100samples,full-chain,0.047883,0.259665,0.886646,0.419483,0.214087,0.739028,0.703196,0.660122,0.25658,0.661101,0.656566,0.579625,output/sft/sft-chain/Qwen3.5-9B/results_full-chain.json
sft-direct,Qwen3.5-9B,run_100samples,full-chain,0.009116,0.15812,0.877448,0.484064,0.276385,0.715257,0.615776,0.561793,0.226078,0.643311,0.65,0.580232,output/sft/sft-direct/Qwen3.5-9B/results_full-chain.json
grpo-from-warmup,Qwen3.5-9B,run_100samples,full-chain,0.0274,0.186815,0.765302,0.576554,0.367423,0.682787,0.51875,0.466495,0.613052,0.425754,0.403141,0.318237,output/grpo/Qwen3.5-9B/grpo_from_warmup/results_full-chain.json
baseline,Qwen3.5-9B,run_200samples,separate-tasks,0.001487,0.144891,0.874199,0.420312,0.218263,0.538354,0.507628,0.453831,0.252488,0.608167,0.624192,0.515575,output/baseline/Qwen3.5-9B/run_200samples/results_all.json
